TICKER,SETOR,COTACAO_FECHAMENTO,VALOR,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,NUMERO_COTISTA,TX_GESTAO,PATRIMONIO_LIQUIDO
BTAG11,Outros,98.6500,96.29,64098.83,0,1.2700,60.5692,655.6900,1165.6146,0,,0.0000
BTAL11,Imóveis Industriais e Logísticos,75.1600,76.71,510191.56,0.6878,1.1200,1.2317,4.7800,27.7224,39881,,667296194.6300
BTCI11,Papéis,8.6900,9.17,1470701.94,0.9239,1.0800,1.0608,4.3800,16.9706,188924,,994700510.87
BTCR11,Papéis,91.9600,88,285574,1.3791,0.9800,0.0000,12.5300,14.5378,8102,,458252683.7300
BTHF11,Papéis,7.5200,8.3,3008113.39,0.8258,1.2200,1.2940,5.2200,1.6725,325076,,2092241998.9
BTHI11,Hotéis,40.0100,38.89,22094.11,0.5789,0.6000,0.8775,3.2800,-1.8328,1341,,631829931.62
BTLG11,Imóveis Industriais e Logísticos,97.9000,100.93,7000666.44,0.9808,0.8000,0.8392,3.4100,15.2495,381638,,4497510230.5500
BTML11,Lajes Corporativas,101.3700,101.37,,0.8787,0.8600,0.5858,4.5900,2.9883,1,,130966273.9
BTRA11,Outros,57.9000,58.75,285399.78,0.5374,0.5200,0.6983,2.6700,48.9135,13097,,374327514.8300
BTSG11,Imóveis Industriais e Logísticos,158.1000,158.1,27.65,1.04,0.6000,0.5033,3.0000,2.4208,108,,117814221.7700
BTSI11,Misto,110.8200,111.52,2231.06,0.9472,0.7000,0.4600,2.8000,2.1108,187,,625681996.88
BTWR11,Fundo de Desenvolvimento,105.4900,105.49,11.44,0.9246,0.5700,0.3708,2.7200,2.7497,139,,92333445.7700
BTYU11,Incorporações,10.4200,10.05,596.83,1.0039,0.7800,1.1380,4.3700,8.5024,237,,307336741.34
BZEL11,Misto,---,0,,0,0.0000,0.0000,0.0000,---,3,,514375692.72
CACR11,Papéis,97.4600,96.32,1036903.06,1.0123,1.4100,1.4717,7.4600,17.6048,1,,460113085.2000
CARE11,Misto,0.7400,1.29,110165.44,0.1829,1.1300,0.0000,6.7900,-2.2607,11607,,286915148.0400
CBOP11,Lajes Corporativas,25.0000,25,80513.11,0.3695,0.4000,0.3683,2.2800,9.6707,2375,,95399410.1800
CCME11,Outros,8.5800,9.03,140922.61,0.8841,0.9800,0.9067,4.0200,13.7598,7879,,696589687.37
CCRF11,Papéis,---,92.5,1276.82,1.4496,0.0000,0.0000,0.0000,---,8102,,146548498.3100
